"advert_name","advert_price","advert_height"
"Candy, Hampshire/ West Sussex border","£ 3,250","14 hands"
"Super Safe Schoolmistress","£ 7,950","15.3 hands"
"Blondie - Normandy Cob Driving schoolmistress","£","15.3 hands"
"11yr Old 170cm Lusitano Dressage Horse","£ 31,500","16.3 hands"
"Tremendo XII 11year Old Spanish P.R.E Stallion","£","17 hands"
"Top Event mare for sale","£ 55,000","16.2 hands"
"Superb all rounder","£ 3,500","14.2 hands"
"****16.2hh ISH Allrounder","£ 6,500","16.2 hands"
"Special competition Pony New forest X","£ 3,500","12.2 hands"
"14.2 10yr old gelding","£ 5,000","14.2 hands"
"14.1 approx safe family pony","£ 3,250","14.1 hands"
"16.00hh Chestnut Gelding 11yrs","£ 5,000","16 hands"
"Stunning Dark Bay Welsh A Gelding","£ 2,000","13 hands"
"Sane and sensible allrounder! Ideal RC/PC/Grassroots Eventing!","£ 8,500","15 hands"
"Stunning 16hh 11yo gelding","£ 5,250","16 hands"
"School Master Grade A jumped 130s Winning Speed Horse","£ 12,750","16.1 hands"
"Stunning All round Pony Cub Pony","£ 2,750","12.3 hands"
"Perfect schoolmaster/young riders/amateurs/pro’s horse","£ 25,000","16.3 hands"
"15.1hh 11yo ISH gelding","£ 7,000","15.1 hands"
"Burty, 15,1 All Rounder","£ 6,000","15.1 hands"
"Beautiful dressage mare by Woodlander Rockstar","£ 18,000","16.2 hands"
"Superb low mileage sport horse type mare","£ 6,250","17 hands"
"Appaloosa Near leopard spot gelding 10yrs","£ 6,500","16.1 hands"
"Stunning Dressage / Allrounder","£ 6,800","16.2 hands"
"13.2hh 10yrs young Mare PERFECT SECOND PONY/PONY CLUB PONY","£ 1,500","13.2 hands"
"FABULOUS ALL-ROUNDER PONY","£ 9,000","14.2 hands"
"Indiano, 11 year old PRE x Lusitano gelding, special colour","£","15.2 hands"
"Pionero, 10 year old lusitano gelding in a special colour","£","15.2 hands"
"Serious Hunter for sale 17hh 11yo gelding","£ 8,000","17 hands"
"The Beautiful Billie Faiers","£ 5,750","14.2 hands"
"16.1 Pretty sports horse x","£ 2,300","16.1 hands"
"All round riding club cob *sold*","£ 3,250","14 hands"
"Beautiful 12.2hh pony for sale","£ 2,300","12.2 hands"
"Handsome medium Gelding","£ 10,500","17.2 hands"
"Amazing 14.2hh all rounder","£ 4,500","14.2 hands"
"10 Year Old ISH X TB Mare","£ 4,500","16.2 hands"
"Flashy and talented 12hh Welsh Section A mare.","£ 3,000","12 hands"
"Stunning friesian x mare","£ 5,250","16.2 hands"
"Beautiful Welsh b palomino gelding for sale","£ 2,000","12.2 hands"
"16. 2 dappled grey ISH SOLD SUBJECT TO VETTING","£ 5,000","16.2 hands"
"Stunning Showjumper/ Schoolmaster","£ 9,000","16.2 hands"
"Dash - Quiet, Safe, Classy gelding","£ 3,750","14.3 hands"
"Woodsmoke Pipit 14.2hh SJ Mare 10yo","£ 6,000","14.2 hands"
"16.3hh All rounder/ Hunter type","£ 3,250","16.3 hands"
"Handsome 14.2hh Allrounder","£ 4,000","14.2 hands"
"Beautiful Connemara Mare","£ 5,000","14.1 hands"
"16hh All Rounder Schoolmistress *reduced - see bottom of advert*","£ 5,500","16 hands"
"17.2 KWPN X Dutch warmblood","£ 6,500","17.2 hands"
"CHACOA ROXETTE 11yr old Mare","£ 8,000","16.1 hands"
"*SOLD* 14hh 11 year old Newforest Gelding","£ 3,500","14 hands"
"13.2hh bombproof cob","£ 2,500","13.2 hands"
"TB mare in foal to a spotted stallion for 2021","£ 1,200","15.3 hands"
"Sweet Natured Happy Hack 14hh 10years","£ 2,000","14 hands"
"Beautiful New Forest Mare for sale","£ 1,050","12.2 hands"
"Proven & Consistent Dressage Star","£ 30,000","16.2 hands"
"Corntown velvet 15 hands","£ 5,000","0 hands"
"GORGEOUS MARE WITH PLENTY OF SCOPE; ANY DISCIPLINE","£ 8,000","14.2 hands"
"Section B Broodmare","£ 250","11 hands"
"All Rounder 14.2hh Connemara","£ 4,500","14.2 hands"
"Neptuno PSG 10 year-old - P.R.E. - Stallion - 16 hh - Spain","£","0 hands"
"STUNNING Thoroughbred for sale‼️","£ 1,250","16.1 hands"
"Stunning jumping mare","£ 4,000","16.1 hands"
"Pocket rocket showjumper","£ 4,000","16 hands"
"Super Show Jumper","£","16 hands"
"16.2 cremello warmblood mare","£ 2,500","16.2 hands"
"Zeeta. 16.1hh Thoroughbred mare","£ 2,300","16.1 hands"
"2010 16hh gelding","£","16 hands"
"14.1 Piebald Cob Gelding","£ 3,800","14.1 hands"
"Perfect Pony Project","£ 850","12 hands"
"Beautiful cob mare","£ 2,500","14.2 hands"
"Perfect Companion, or project Pony","£ 150","13 hands"
"Don’t be heartbroken and miss out ....","£ 6,750","16.1 hands"
"16.2 hh Irish Draught Gelding","£ 3,250","16.2 hands"
"Serious event mare","£ 3,850","16.1 hands"
"Barkway pony for sale","£ 3,000","13.2 hands"
"Handsome 15.2hh gelding","£ 3,500","15.2 hands"
"11.3/12hh lead rein or 2nd pony mare","£ 1,500","11.3 hands"
"Strong brave mare","£ 1,500","15.2 hands"
"SOLD Talented Eventer / showjumper","£ 12,345","16 hands"
"piebald 13'2 gelding","£ 2,250","13.2 hands"
"13'2 piebald gelding","£ 2,250","13.2 hands"
"Unbroken project, coloured gelding","£ 899","14.3 hands"
"Primitive Rising Line Stallion","£ 850","15.3 hands"
"14hh dun Connemara jumping pony for sale","£ 3,500","14 hands"
"13.2HH FUN/FAMILY PONY","£ 2,800","13.1 hands"
