"advert_name","advert_price","advert_height"
"Sweet mare looking for forever partnership","£ 3,500","13.1 hands"
"Welsh Section D","£ 3,500","15.1 hands"
"Potential competition pony","£ 3,250","13.2 hands"
"Talented, eye catching 17hh skewbald","£ 7,500","17 hands"
"Super broodmare available","£ 1,500","16.2 hands"
"Beautiful companion (non-ridden) horse, Suitable for in-hand activities only.","£","15.1 hands"
"Needs a good home","£ 3,000","16.3 hands"
"11yr old Irish sport bay mare 16.2hh","£ 3,150","16.2 hands"
"16hh Irish draught cross ISH","£ 3,500","16 hands"
"Registered Connemara Mare","£ 2,550","14 hands"
"12.3h Jumping machine, Welsh part bred pony","£ 2,500","12.3 hands"
"Top class welsh b gelding","£ 4,500","13.2 hands"
"Collando 16hh showjumper","£ 6,500","16 hands"
"16.1hh Stunning 10yro Chestnut Gelding","£ 3,500","16.1 hands"
"Diamond Princess, Top Class Mare with serious potential.","£ 10,000","16.1 hands"
